id,country,consumption_pork,co2_pork,consumption_poultry,co2_poultry,consumption_beef,co2_beef,consumption_lambgoat,co2_lambgoat,consumption_fish,co2_fish,consumption_eggs,co2_eggs,consumption_milkcheese,co2_milkcheese,consumption_wheat,co2_wheat,consumption_rice,co2_rice,consumption_soybeans,co2_soybeans,consumption_nuts,co2_nuts,GDP.PPP.2013,co2_meat,co2_nonmeat
1,Albania,10.88,38.51,13.23,14.21,22.5,694.3,15.32,536.5,3.85,6.15,12.45,11.44,303.72,432.62,138.64,26.44,7.78,9.96,0,0,4.36,7.72,4413.08174,1289.67,488.18
2,Algeria,0,0,7.42,7.97,5.6,172.8,7.69,269.3,3.74,5.97,8.06,7.4,141.53,201.6,185.42,35.36,2.97,3.8,0,0,2.08,3.68,5499.58149,456.04,251.84
3,Angola,8.89,31.47,17.33,18.62,8.42,259.82,1.08,37.82,15.24,24.33,1.11,1.02,12.3,17.52,40.72,7.77,8.12,10.39,0.52,0.23,2.26,4,5254.88234,372.06,40.93
4,Argentina,10.51,37.2,38.66,41.53,55.48,1712,1.56,54.63,4.36,6.96,11.39,10.46,195.08,277.87,103.11,19.66,8.77,11.22,0,0,0.49,0.87,13080.2547,1852.32,320.08
5,Armenia,9.67,34.23,13.35,14.34,19.66,606.67,3.02,105.76,4.36,6.96,11.69,10.74,209.03,297.74,130.6,24.91,3.18,4.07,0,0,2.55,4.51,3838.1858,767.96,341.97
6,Australia,24.14,85.44,46.12,49.54,33.86,1044.85,9.87,345.65,17.69,28.25,8.51,7.82,234.49,334.01,70.46,13.44,11.03,14.12,0.19,0.09,8.73,15.45,68150.107,1553.73,384.93
7,Austria,52.56,186.04,18.61,19.99,17.14,528.9,1.16,40.62,12.16,19.42,14.68,13.49,258.09,367.62,81.1,15.47,3.7,4.73,2.06,0.93,7.88,13.95,50716.7087,794.97,416.19
8,Bahamas,32.74,115.88,45.74,49.13,19.92,614.69,5.22,182.8,18.8,30.02,6.2,5.7,104.76,149.22,39.98,7.62,23.97,30.67,0.09,0.04,4.03,7.13,28768.0299,992.52,200.38
9,Bangladesh,0,0,1.4,1.5,1.28,39.5,1.33,46.58,18.07,28.85,2.08,1.91,21.91,31.21,17.47,3.33,171.73,219.76,0.61,0.27,0.72,1.27,981.839879,116.43,257.75
10,Barbados,8.3,29.38,42.62,45.78,13.13,405.16,4.08,142.88,37.41,59.73,9.61,8.83,110.48,157.37,65.71,12.53,15.66,20.04,0.1,0.05,4.16,7.36,16452.037,682.93,206.18
